age,job,marital,education,default,balance,housing,contact,duration,campaign,pdays,previous,poutcome,signed up
43,blue-collar,married,primary,no,3917,no,cellular,725,2,93,1,success,1
47,services,married,secondary,no,-150,no,cellular,52,4,-1,0,unknown,0
47,management,married,secondary,no,2892,no,unknown,556,1,-1,0,unknown,1
34,management,married,tertiary,no,158,no,cellular,278,2,132,4,failure,1
36,unemployed,married,secondary,no,923,no,unknown,6,1,-1,0,unknown,0
56,admin.,married,secondary,no,1671,no,cellular,158,2,-1,0,unknown,0
63,retired,married,secondary,no,1495,no,cellular,389,1,195,4,other,1
29,student,single,tertiary,no,3054,no,cellular,204,1,186,7,success,0
42,management,married,tertiary,no,976,no,cellular,164,1,-1,0,unknown,1
38,management,single,tertiary,no,194,no,cellular,561,2,-1,0,unknown,0
70,retired,married,secondary,no,2626,no,cellular,140,2,-1,0,unknown,1
34,management,single,tertiary,no,5086,no,cellular,213,4,-1,0,unknown,1
45,technician,married,secondary,no,297,no,cellular,210,2,-1,0,unknown,0
47,unemployed,married,primary,no,324,no,cellular,462,2,-1,0,unknown,1
36,technician,married,secondary,no,465,no,cellular,85,1,-1,0,unknown,0
41,management,married,tertiary,no,-195,no,cellular,112,1,-1,0,unknown,0
30,services,married,secondary,no,208,no,cellular,213,3,-1,0,unknown,0
32,management,married,tertiary,no,322,no,cellular,101,1,-1,0,unknown,0
45,services,married,secondary,yes,144,no,cellular,95,8,-1,0,unknown,0
31,management,single,tertiary,no,2915,no,cellular,228,1,86,1,failure,0
51,blue-collar,married,secondary,no,700,no,cellular,237,4,-1,0,unknown,0
31,technician,single,secondary,no,1970,no,telephone,284,3,-1,0,unknown,0
36,management,divorced,tertiary,no,608,no,cellular,125,2,-1,0,unknown,0
39,technician,married,tertiary,no,206,no,cellular,148,2,195,2,success,1
39,technician,married,tertiary,no,386,no,cellular,201,2,-1,0,unknown,0
53,unemployed,married,primary,no,845,no,cellular,123,2,-1,0,unknown,0
42,services,married,secondary,no,0,no,unknown,118,6,-1,0,unknown,0
38,management,single,tertiary,no,0,no,cellular,95,2,-1,0,unknown,0
30,admin.,married,secondary,no,482,no,cellular,86,1,-1,0,unknown,0
50,admin.,married,secondary,no,761,no,cellular,273,3,-1,0,unknown,0
28,self-employed,single,tertiary,no,159,no,cellular,449,2,33,4,success,1
82,housemaid,married,primary,no,2140,no,telephone,118,6,-1,0,unknown,0
43,blue-collar,married,secondary,no,184,no,cellular,1019,11,-1,0,unknown,1
49,blue-collar,married,secondary,no,4259,no,cellular,146,3,111,7,failure,0
58,management,divorced,tertiary,no,577,no,unknown,1244,3,-1,0,unknown,0
43,management,divorced,tertiary,no,2367,no,cellular,114,1,38,2,other,1
51,technician,married,secondary,no,117,no,cellular,467,2,88,4,other,1
44,management,married,secondary,no,488,no,cellular,138,2,183,11,failure,0
42,technician,married,secondary,no,827,no,cellular,153,3,-1,0,unknown,0
32,management,single,tertiary,no,0,no,cellular,63,2,-1,0,unknown,0
33,technician,married,secondary,no,1026,no,cellular,87,1,1,5,failure,0
30,technician,single,secondary,no,9645,no,cellular,130,10,-1,0,unknown,0
54,technician,single,secondary,no,224,no,cellular,134,2,-1,0,unknown,0
38,blue-collar,married,secondary,no,0,no,unknown,361,1,-1,0,unknown,0
31,management,single,tertiary,no,35,no,cellular,27,16,-1,0,unknown,0
31,management,single,tertiary,no,617,no,cellular,1161,1,97,2,success,1
32,technician,single,tertiary,no,388,no,cellular,250,3,-1,0,unknown,1
46,blue-collar,married,secondary,no,6215,no,unknown,155,1,-1,0,unknown,0
28,management,single,tertiary,no,1,no,cellular,86,11,-1,0,unknown,0
29,unemployed,single,secondary,no,323,no,cellular,151,1,-1,0,unknown,0
55,housemaid,married,primary,no,10,no,cellular,174,3,-1,0,unknown,0
56,retired,married,primary,no,842,no,unknown,108,1,-1,0,unknown,0
55,unemployed,married,secondary,no,377,no,cellular,403,1,183,1,success,0
25,blue-collar,single,secondary,yes,-220,no,cellular,152,1,-1,0,unknown,0
73,retired,married,primary,no,542,no,cellular,355,1,180,5,failure,1
59,housemaid,married,primary,no,1071,no,unknown,140,1,-1,0,unknown,0
38,management,married,tertiary,no,1223,no,cellular,1092,5,-1,0,unknown,1
33,management,single,tertiary,no,1590,no,cellular,57,1,-1,0,unknown,0
40,technician,married,tertiary,no,99,no,cellular,220,2,364,2,failure,0
67,retired,divorced,secondary,no,704,no,cellular,186,2,97,1,success,1
41,unemployed,married,secondary,no,5608,no,cellular,64,2,-1,0,unknown,0
32,technician,married,secondary,no,0,no,cellular,750,3,-1,0,unknown,0
28,entrepreneur,single,tertiary,no,16,no,cellular,48,1,-1,0,unknown,0
44,services,divorced,secondary,no,0,no,cellular,275,17,-1,0,unknown,0
56,management,married,tertiary,no,0,no,unknown,422,1,-1,0,unknown,1
43,entrepreneur,married,tertiary,no,396,no,unknown,105,3,-1,0,unknown,0
36,management,married,tertiary,no,5367,no,cellular,324,1,455,2,failure,0
43,retired,single,secondary,no,53,no,telephone,305,4,-1,0,unknown,0
48,services,married,secondary,yes,-20,no,cellular,142,2,-1,0,unknown,0
33,blue-collar,married,primary,no,496,no,cellular,151,1,-1,0,unknown,0
55,admin.,married,secondary,no,602,no,cellular,390,2,150,6,success,1
64,retired,married,tertiary,no,14170,no,cellular,62,2,-1,0,unknown,0
52,management,divorced,tertiary,no,590,no,unknown,354,5,-1,0,unknown,0
56,blue-collar,married,primary,no,284,no,telephone,124,4,204,4,failure,0
54,admin.,divorced,secondary,no,1693,no,cellular,1277,1,87,2,other,1
56,services,divorced,secondary,no,935,no,cellular,112,1,227,2,failure,0
30,services,divorced,secondary,no,21,no,cellular,49,1,-1,0,unknown,0
32,blue-collar,single,secondary,no,427,no,unknown,11,1,-1,0,unknown,0
53,management,married,tertiary,no,1619,no,unknown,89,1,-1,0,unknown,0
37,services,married,secondary,no,40,no,unknown,42,3,-1,0,unknown,0
47,technician,married,secondary,no,147,no,cellular,136,2,-1,0,unknown,0
30,blue-collar,married,secondary,no,365,no,unknown,381,4,-1,0,unknown,0
30,admin.,single,unknown,yes,1,no,unknown,307,1,-1,0,unknown,0
30,management,married,tertiary,no,562,no,cellular,137,4,-1,0,unknown,0
20,student,single,unknown,no,167,no,cellular,237,1,-1,0,unknown,0
54,management,divorced,tertiary,no,380,no,cellular,501,1,188,2,success,0
49,management,married,tertiary,no,629,no,cellular,431,4,-1,0,unknown,0
49,management,married,tertiary,no,4594,no,cellular,157,3,-1,0,unknown,0
29,student,single,secondary,no,48,no,cellular,51,1,-1,0,unknown,0
36,management,married,tertiary,no,324,no,cellular,104,4,-1,0,unknown,0
47,technician,divorced,secondary,no,1013,no,cellular,170,1,92,3,failure,1
52,blue-collar,married,primary,no,2,no,unknown,70,3,-1,0,unknown,0
31,unemployed,married,secondary,no,20,no,telephone,52,1,-1,0,unknown,0
32,management,married,tertiary,no,0,no,cellular,74,2,-1,0,unknown,0
29,unemployed,single,tertiary,no,70,no,cellular,393,1,-1,0,unknown,1
26,blue-collar,single,secondary,no,37,no,cellular,301,2,-1,0,unknown,0
57,unemployed,married,secondary,no,4588,no,cellular,485,3,-1,0,unknown,0
46,blue-collar,married,primary,no,201,no,cellular,163,6,-1,0,unknown,0
39,technician,single,secondary,no,201,no,unknown,148,4,-1,0,unknown,0
36,management,married,tertiary,no,369,no,cellular,193,4,102,2,failure,0
43,technician,married,secondary,no,136,no,cellular,363,7,-1,0,unknown,1
70,retired,married,primary,no,3230,no,cellular,300,2,48,1,failure,0
43,blue-collar,divorced,secondary,no,-259,no,cellular,732,1,171,2,other,0
27,blue-collar,single,secondary,no,148,no,cellular,203,1,-1,0,unknown,0
36,management,married,tertiary,no,255,no,cellular,970,2,92,2,other,1
52,technician,married,secondary,no,526,no,cellular,60,6,-1,0,unknown,0
54,housemaid,married,primary,no,470,no,cellular,104,6,-1,0,unknown,0
62,retired,married,secondary,no,816,no,cellular,28,2,-1,0,unknown,0
29,unemployed,single,secondary,no,875,no,cellular,137,1,-1,0,unknown,0
31,unemployed,married,tertiary,no,591,no,cellular,161,2,-1,0,unknown,0
36,technician,married,secondary,no,278,no,cellular,121,16,-1,0,unknown,0
50,admin.,married,secondary,no,715,no,cellular,131,13,-1,0,unknown,0
60,retired,married,tertiary,no,3461,no,cellular,128,2,-1,0,unknown,0
43,admin.,married,unknown,no,3485,no,unknown,113,1,-1,0,unknown,0
51,services,single,unknown,no,415,no,cellular,210,2,-1,0,unknown,0
46,management,married,tertiary,no,1446,no,cellular,359,1,-1,0,unknown,0
28,technician,single,secondary,no,1363,no,cellular,431,3,102,1,success,0
43,retired,married,secondary,no,860,no,telephone,132,1,-1,0,unknown,1
39,blue-collar,single,secondary,no,1961,no,unknown,216,1,-1,0,unknown,0
26,admin.,divorced,secondary,no,1,no,cellular,92,1,-1,0,unknown,0
34,technician,married,secondary,no,298,no,cellular,42,10,-1,0,unknown,0
55,services,married,secondary,no,0,no,cellular,106,1,-1,0,unknown,0
44,management,married,tertiary,no,2876,no,unknown,125,1,-1,0,unknown,0
33,entrepreneur,married,secondary,no,0,no,cellular,224,4,-1,0,unknown,0
58,retired,married,secondary,no,571,no,cellular,54,3,-1,0,unknown,0
26,admin.,single,secondary,no,187,no,cellular,226,2,-1,0,unknown,0
59,management,single,tertiary,no,911,no,unknown,172,2,-1,0,unknown,0
38,management,married,tertiary,no,1,no,cellular,342,2,-1,0,unknown,0
30,blue-collar,single,secondary,no,228,no,cellular,232,1,365,1,failure,0
32,blue-collar,married,secondary,no,2263,no,cellular,113,2,-1,0,unknown,0
52,admin.,married,secondary,no,350,no,cellular,460,2,-1,0,unknown,0
34,technician,married,secondary,no,22,no,cellular,270,3,-1,0,unknown,0
53,management,single,tertiary,no,0,no,cellular,595,1,-1,0,unknown,0
38,blue-collar,single,secondary,no,340,no,cellular,260,5,-1,0,unknown,0
53,management,married,tertiary,no,618,no,cellular,73,2,-1,0,unknown,0
50,management,married,tertiary,yes,72,no,cellular,171,13,-1,0,unknown,0
42,blue-collar,married,secondary,no,-422,no,cellular,31,1,-1,0,unknown,0
38,admin.,single,secondary,no,-211,no,cellular,166,2,-1,0,unknown,0
43,technician,divorced,secondary,no,1532,no,cellular,61,2,-1,0,unknown,0
38,admin.,single,secondary,no,0,no,cellular,452,3,-1,0,unknown,0
36,management,single,tertiary,no,0,no,cellular,300,1,96,4,failure,0
35,self-employed,single,tertiary,no,353,no,cellular,582,1,-1,0,unknown,1
57,management,married,secondary,no,0,no,cellular,132,1,-1,0,unknown,0
30,admin.,single,tertiary,no,311,no,cellular,158,2,-1,0,unknown,1
59,management,married,tertiary,no,1069,no,cellular,85,2,-1,0,unknown,0
48,unemployed,married,primary,no,9622,no,cellular,787,6,-1,0,unknown,0
61,housemaid,married,primary,no,368,no,cellular,62,3,-1,0,unknown,0
52,housemaid,married,primary,no,3283,no,unknown,553,1,-1,0,unknown,0
52,technician,married,secondary,no,136,no,cellular,88,5,-1,0,unknown,0
41,admin.,married,secondary,no,4539,no,unknown,298,3,-1,0,unknown,0
49,services,married,secondary,no,388,no,telephone,1032,4,-1,0,unknown,1
33,services,married,secondary,no,0,no,cellular,128,1,-1,0,unknown,0
30,management,single,tertiary,no,414,no,cellular,635,5,-1,0,unknown,0
55,blue-collar,married,unknown,no,7561,no,unknown,685,3,-1,0,unknown,1
34,technician,married,secondary,no,1137,no,cellular,383,2,206,1,other,0
42,blue-collar,divorced,secondary,no,1450,no,cellular,394,2,-1,0,unknown,0
50,entrepreneur,divorced,tertiary,no,315,no,cellular,249,1,119,1,failure,0
59,retired,married,secondary,no,4457,no,cellular,127,2,-1,0,unknown,0
56,technician,married,secondary,no,4073,no,cellular,239,5,-1,0,unknown,0
36,services,married,secondary,no,30,no,cellular,716,5,-1,0,unknown,1
55,blue-collar,married,secondary,no,644,no,cellular,42,3,-1,0,unknown,0
27,management,married,tertiary,no,4909,no,cellular,159,3,-1,0,unknown,0
43,management,married,tertiary,no,1993,no,cellular,37,1,174,1,failure,0
33,management,single,tertiary,no,191,no,cellular,678,4,209,1,failure,0
45,technician,married,secondary,no,1629,no,cellular,58,4,-1,0,unknown,0
52,blue-collar,married,primary,no,1949,no,cellular,108,2,-1,0,unknown,0
25,student,single,secondary,no,469,no,cellular,273,1,86,1,other,1
29,admin.,single,secondary,no,1277,no,cellular,165,2,481,1,success,1
33,admin.,married,tertiary,no,882,no,cellular,104,1,183,4,failure,1
34,management,married,secondary,no,42,no,cellular,82,3,-1,0,unknown,0
31,technician,single,tertiary,no,454,no,cellular,73,3,-1,0,unknown,0
61,retired,married,tertiary,no,5267,no,cellular,226,3,-1,0,unknown,1
35,housemaid,married,tertiary,no,3831,no,cellular,59,2,-1,0,unknown,0
25,admin.,single,tertiary,no,11,no,cellular,236,3,-1,0,unknown,0
25,student,single,secondary,no,3090,no,cellular,139,1,-1,0,unknown,0
38,blue-collar,married,unknown,no,113,no,unknown,25,10,-1,0,unknown,0
52,management,married,primary,no,324,no,cellular,81,1,-1,0,unknown,0
32,management,single,tertiary,no,2613,no,cellular,520,2,-1,0,unknown,0
65,retired,married,unknown,no,820,no,cellular,432,1,-1,0,unknown,0
36,management,married,tertiary,no,925,no,cellular,321,3,189,4,success,1
45,admin.,married,secondary,yes,-571,no,cellular,332,2,-1,0,unknown,0
47,admin.,married,secondary,no,2,no,cellular,89,1,-1,0,unknown,0
36,management,single,tertiary,no,335,no,unknown,5,1,772,4,failure,0
58,technician,married,unknown,no,-509,no,cellular,239,1,-1,0,unknown,0
50,technician,divorced,secondary,no,2910,no,cellular,364,2,-1,0,unknown,0
31,blue-collar,married,tertiary,no,-35,no,cellular,952,2,-1,0,unknown,1
24,admin.,single,secondary,no,5,no,cellular,66,1,330,1,failure,0
51,admin.,married,secondary,no,2662,no,telephone,148,2,-1,0,unknown,0
35,management,married,tertiary,no,178,no,cellular,76,2,-1,0,unknown,0
31,technician,single,secondary,no,198,no,cellular,366,4,-1,0,unknown,0
38,blue-collar,married,primary,no,1597,no,telephone,15,1,-1,0,unknown,0
50,technician,divorced,unknown,no,2794,no,cellular,1336,2,-1,0,unknown,1
52,technician,married,secondary,no,0,no,cellular,541,3,-1,0,unknown,1
41,technician,married,tertiary,no,6961,no,cellular,235,2,-1,0,unknown,0
47,entrepreneur,divorced,secondary,no,186,no,cellular,112,2,-1,0,unknown,0
32,technician,single,secondary,no,0,no,cellular,92,4,-1,0,unknown,0
41,blue-collar,married,primary,no,438,no,cellular,46,1,-1,0,unknown,0
47,services,married,secondary,no,459,no,cellular,599,3,-1,0,unknown,0
53,technician,single,tertiary,no,118,no,cellular,431,3,-1,0,unknown,0
28,blue-collar,single,secondary,no,2909,no,cellular,205,7,-1,0,unknown,0
36,entrepreneur,married,tertiary,no,247,no,cellular,351,1,-1,0,unknown,0
53,admin.,married,secondary,no,8449,no,cellular,123,2,-1,0,unknown,0
20,student,single,unknown,no,457,no,cellular,214,1,-1,0,unknown,0
35,management,single,tertiary,no,362,no,cellular,256,4,-1,0,unknown,0
52,management,married,secondary,no,5193,no,cellular,477,2,-1,0,unknown,0
47,unemployed,single,primary,no,289,no,cellular,210,1,-1,0,unknown,0
36,blue-collar,married,primary,no,0,no,unknown,149,1,-1,0,unknown,0
59,unemployed,single,secondary,no,865,no,cellular,1086,1,-1,0,unknown,0
58,management,divorced,tertiary,no,1266,no,unknown,164,1,-1,0,unknown,0
37,management,single,tertiary,no,8066,no,telephone,57,1,-1,0,unknown,0
34,student,single,unknown,no,1281,no,cellular,279,1,117,1,failure,0
41,technician,married,secondary,no,1819,no,cellular,397,1,371,3,failure,1
53,unknown,married,primary,no,732,no,cellular,759,2,-1,0,unknown,1
24,management,single,tertiary,no,1085,no,cellular,95,6,-1,0,unknown,0
31,services,single,secondary,no,125,no,cellular,360,1,-1,0,unknown,0
27,blue-collar,single,primary,no,21,no,cellular,197,4,-1,0,unknown,0
38,management,married,tertiary,no,1477,no,cellular,385,3,769,2,failure,1
29,admin.,single,secondary,no,-133,no,cellular,108,1,-1,0,unknown,0
55,admin.,divorced,secondary,no,0,no,unknown,76,2,-1,0,unknown,0
35,blue-collar,married,primary,no,828,no,unknown,468,8,-1,0,unknown,0
36,management,divorced,tertiary,no,0,no,cellular,247,4,-1,0,unknown,0
73,retired,married,primary,no,279,no,cellular,399,3,-1,0,unknown,1
40,blue-collar,single,primary,no,397,no,unknown,163,1,-1,0,unknown,0
35,management,single,tertiary,no,556,no,cellular,52,8,-1,0,unknown,0
32,technician,married,secondary,no,3095,no,cellular,204,10,-1,0,unknown,0
59,admin.,married,primary,no,1040,no,telephone,733,1,-1,0,unknown,0
27,blue-collar,single,secondary,no,677,no,telephone,110,8,-1,0,unknown,0
52,technician,married,secondary,no,786,no,cellular,310,1,-1,0,unknown,0
51,blue-collar,married,secondary,no,279,no,cellular,64,3,-1,0,unknown,0
36,blue-collar,married,primary,no,1707,no,unknown,190,2,-1,0,unknown,0
40,technician,married,tertiary,no,1554,no,cellular,99,1,-1,0,unknown,0
26,admin.,single,secondary,no,1099,no,cellular,99,2,225,13,other,0
52,housemaid,married,secondary,no,14363,no,unknown,132,1,-1,0,unknown,0
40,admin.,married,secondary,no,2199,no,unknown,38,3,-1,0,unknown,0
55,management,married,secondary,no,8592,no,unknown,255,1,-1,0,unknown,0
25,services,single,secondary,no,594,no,cellular,89,2,-1,0,unknown,1
49,management,single,tertiary,no,2555,no,cellular,263,2,-1,0,unknown,0
57,retired,married,tertiary,no,3571,no,unknown,708,2,-1,0,unknown,0
52,self-employed,married,secondary,no,-201,no,cellular,905,1,133,2,failure,0
50,technician,married,secondary,no,2242,no,cellular,170,2,-1,0,unknown,0
41,management,married,secondary,yes,-771,no,unknown,343,2,-1,0,unknown,0
53,blue-collar,married,primary,yes,-462,no,cellular,470,1,-1,0,unknown,1
32,management,single,tertiary,no,1966,no,cellular,176,3,-1,0,unknown,0
32,self-employed,married,secondary,no,409,no,cellular,217,2,-1,0,unknown,1
60,retired,married,secondary,no,208,no,cellular,70,4,-1,0,unknown,0
46,management,married,tertiary,no,182,no,cellular,317,1,-1,0,unknown,0
36,management,divorced,tertiary,no,59,no,cellular,526,2,-1,0,unknown,1
71,retired,divorced,secondary,no,0,no,cellular,771,1,171,1,success,1
48,technician,married,secondary,no,480,no,cellular,371,1,-1,0,unknown,0
39,management,divorced,unknown,no,401,no,unknown,126,1,-1,0,unknown,0
52,management,married,secondary,no,0,no,cellular,249,3,-1,0,unknown,0
37,admin.,single,secondary,no,127,no,cellular,83,4,-1,0,unknown,0
36,technician,married,secondary,no,594,no,cellular,230,3,-1,0,unknown,0
59,blue-collar,married,secondary,no,87,no,unknown,65,10,-1,0,unknown,0
48,unknown,married,unknown,no,286,no,cellular,166,2,-1,0,unknown,0
33,blue-collar,single,primary,yes,-15,no,cellular,326,2,-1,0,unknown,0
37,retired,married,secondary,no,71,no,cellular,254,1,-1,0,unknown,0
54,retired,married,primary,no,1156,no,unknown,64,2,-1,0,unknown,0
40,entrepreneur,married,secondary,no,285,no,cellular,133,1,-1,0,unknown,0
45,housemaid,divorced,tertiary,no,2098,no,unknown,81,3,-1,0,unknown,0
33,technician,single,secondary,no,2481,no,cellular,104,2,-1,0,unknown,0
54,technician,married,unknown,no,1162,no,telephone,37,2,-1,0,unknown,0
45,management,single,tertiary,no,1395,no,cellular,67,1,-1,0,unknown,0
30,self-employed,single,secondary,no,192,no,cellular,423,1,-1,0,unknown,0
38,services,divorced,secondary,no,5873,no,unknown,191,2,-1,0,unknown,0
29,admin.,single,tertiary,no,8,no,cellular,107,1,-1,0,unknown,0
39,management,divorced,tertiary,no,224,no,cellular,208,1,-1,0,unknown,1
41,management,married,tertiary,no,1773,no,unknown,106,1,-1,0,unknown,0
59,unemployed,married,primary,no,13836,no,telephone,733,1,-1,0,unknown,0
32,management,married,secondary,no,251,no,cellular,272,6,-1,0,unknown,0
49,blue-collar,married,primary,no,1,no,cellular,98,1,210,1,other,0
58,retired,married,secondary,no,2126,no,cellular,184,1,-1,0,unknown,0
52,blue-collar,married,unknown,no,-4,no,unknown,336,3,-1,0,unknown,0
53,services,married,unknown,no,18,no,unknown,503,2,-1,0,unknown,0
43,blue-collar,married,secondary,no,1035,no,cellular,122,1,-1,0,unknown,0
47,technician,married,secondary,no,2480,no,cellular,763,2,-1,0,unknown,1
29,blue-collar,single,secondary,no,-20,no,cellular,574,1,-1,0,unknown,1
59,management,divorced,tertiary,no,14,no,cellular,114,2,-1,0,unknown,0
34,management,married,tertiary,no,333,no,cellular,170,1,-1,0,unknown,0
37,technician,married,secondary,yes,0,no,unknown,236,1,-1,0,unknown,0
44,management,married,tertiary,no,773,no,cellular,618,1,-1,0,unknown,0
25,admin.,single,tertiary,no,1185,no,cellular,135,1,-1,0,unknown,0
26,services,single,tertiary,no,2803,no,cellular,11,7,-1,0,unknown,0
49,admin.,single,secondary,no,275,no,unknown,14,1,-1,0,unknown,0
35,technician,single,tertiary,no,914,no,unknown,166,1,-1,0,unknown,0
30,technician,single,tertiary,no,411,no,cellular,127,3,149,2,failure,1
46,unemployed,divorced,primary,no,23,no,cellular,344,1,-1,0,unknown,0
39,blue-collar,married,primary,no,3324,no,cellular,96,1,131,1,failure,0
53,admin.,married,secondary,no,459,no,cellular,558,1,-1,0,unknown,1
46,technician,married,secondary,no,792,no,unknown,170,2,-1,0,unknown,0
29,admin.,single,tertiary,no,514,no,cellular,270,1,-1,0,unknown,0
53,entrepreneur,married,tertiary,no,71,no,cellular,86,1,-1,0,unknown,0
71,retired,married,tertiary,no,3561,no,telephone,577,7,-1,0,unknown,1
51,housemaid,married,secondary,no,294,no,cellular,640,1,-1,0,unknown,0
47,technician,married,secondary,no,72,no,unknown,278,1,-1,0,unknown,0
29,blue-collar,single,secondary,no,482,no,cellular,168,2,-1,0,unknown,0
26,management,single,tertiary,no,761,no,cellular,362,1,-1,0,unknown,0
34,services,married,secondary,no,0,no,cellular,160,3,-1,0,unknown,0
72,retired,married,primary,no,4657,no,telephone,255,1,91,8,success,1
41,management,married,secondary,no,6,no,cellular,123,1,-1,0,unknown,0
58,unknown,married,tertiary,no,327,no,telephone,124,4,-1,0,unknown,0
31,management,single,tertiary,no,0,no,cellular,35,31,-1,0,unknown,0
59,technician,married,secondary,no,2528,no,unknown,216,1,-1,0,unknown,0
57,services,married,secondary,no,-37,no,telephone,31,6,-1,0,unknown,0
29,blue-collar,single,primary,no,343,no,cellular,39,2,-1,0,unknown,0
56,blue-collar,married,primary,no,2442,no,cellular,111,7,-1,0,unknown,0
52,unemployed,married,secondary,no,1416,no,cellular,218,3,187,3,success,1
44,admin.,married,secondary,no,1305,no,cellular,72,4,-1,0,unknown,0
50,entrepreneur,divorced,tertiary,no,541,no,cellular,204,1,-1,0,unknown,0
60,management,married,tertiary,no,13360,no,unknown,264,1,-1,0,unknown,0
30,technician,single,secondary,no,3048,no,cellular,223,2,-1,0,unknown,0
26,student,single,secondary,no,611,no,cellular,455,3,-1,0,unknown,0
31,management,married,secondary,no,0,no,cellular,81,2,-1,0,unknown,0
52,management,married,secondary,no,335,no,cellular,411,1,182,1,failure,1
44,management,divorced,tertiary,no,0,no,cellular,71,1,-1,0,unknown,0
53,technician,married,secondary,no,65,no,cellular,99,1,92,2,failure,0
49,management,married,tertiary,no,64,no,cellular,208,1,159,1,success,0
65,technician,married,secondary,no,2303,no,cellular,95,2,-1,0,unknown,0
52,admin.,divorced,secondary,no,1426,no,cellular,115,1,-1,0,unknown,0
42,services,married,secondary,no,3236,no,unknown,521,11,-1,0,unknown,0
32,admin.,single,tertiary,no,-59,no,unknown,192,1,-1,0,unknown,0
31,technician,married,secondary,no,0,no,cellular,102,2,-1,0,unknown,0
58,technician,single,secondary,no,382,no,cellular,460,2,-1,0,unknown,0
35,management,single,tertiary,no,863,no,cellular,481,2,-1,0,unknown,0
78,retired,divorced,unknown,no,0,no,telephone,259,1,-1,0,unknown,0
30,management,single,tertiary,no,2,no,cellular,269,1,-1,0,unknown,0
32,management,single,tertiary,no,566,no,cellular,114,2,-1,0,unknown,0
37,blue-collar,single,tertiary,no,344,no,unknown,407,2,-1,0,unknown,0
