Country,State,County,Date,Type
United States,Pennsylvania,Schuylkill,2020-03-30,Stay at home
United States,Pennsylvania,Washington,2020-03-28,Stay at home
United States,Pennsylvania,Wayne,2020-03-27,Stay at home
United States,Pennsylvania,Westmoreland,2020-03-27,Stay at home
United States,Pennsylvania,York,2020-03-27,Stay at home
United States,Puerto Rico,,2020-03-15,Curfew
United States,Rhode Island,,2020-03-28,Stay at home
United States,South Carolina,,2020-04-07,Stay at home
United States,South Carolina,Charleston,2020-03-26,Stay at home
United States,South Carolina,Columbia,2020-03-29,Stay at home
United States,Tennessee,,2020-04-01,Stay at home
United States,Tennessee,Franklin,2020-03-25,Stay at home
United States,Tennessee,Davidson,2020-03-23,Stay at home
United States,Tennessee,Knox,2020-03-24,Stay at home
United States,Tennessee,Shelby,2020-03-24,Shelter in place
United States,Texas,,2020-04-02,Stay at home
United States,Texas,Amarillo,2020-03-31,Stay at home
United States,Texas,Lubbock,2020-03-30,Stay at home
United States,Texas,Bell,2020-03-24,Shelter in place
United States,Texas,Bexar,2020-03-25,Stay at home
United States,Texas,Brazoria,2020-03-26,Stay at home
United States,Texas,Cameron,2020-03-25,Shelter in place
United States,Texas,Chambers,2020-03-25,Shelter in place
United States,Texas,Collin,2020-03-24,Stay at home
United States,Texas,Dallas,2020-03-24,Shelter in place
United States,Texas,Denton,2020-03-26,Stay at home
United States,Texas,El Paso,2020-03-25,Stay at home
United States,Texas,Ellis,2020-03-26,Stay at home
United States,Texas,Fort Bend,2020-03-25,Stay at home
United States,Texas,Galveston,2020-03-25,Stay at home
United States,Texas,Gregg,2020-03-27,Shelter in place
United States,Texas,Harris,2020-03-25,Stay at home
United States,Texas,Harrison,2020-04-01,Stay at home
United States,Texas,Hays,2020-03-26,Stay at home
United States,Texas,Hildalgo,2020-03-27,Shelter in place
United States,Texas,Hunt,2020-03-25,Shelter in place
United States,Texas,Kaufman,2020-03-26,Shelter in place
United States,Texas,Liberty,2020-03-25,Stay at home
United States,Texas,McLennan,2020-03-24,Shelter in place
United States,Texas,Nacogdoches,2020-03-30,Stay at home
United States,Texas,Nueces,2020-03-27,Stay at home
United States,Texas,Polk,2020-03-28,Stay at home
United States,Texas,Robertson,2020-03-25,Shelter in place
United States,Texas,Rockwall,2020-03-25,Stay at home
United States,Texas,San Jacinto,2020-03-25,Stay at home
United States,Texas,Scurry,2020-03-28,Shelter in place
United States,Texas,Smith,2020-03-28,Stay at home
United States,Texas,Starr,2020-03-25,Stay at home
United States,Texas,Tarrant,2020-03-25,Stay at home
United States,Texas,Travis,2020-03-25,Stay at home
United States,Texas,Wichita,2020-03-28,Shelter in place
United States,Texas,Willacy,2020-03-26,Shelter in place
United States,Texas,Williamson,2020-03-25,Stay at home
United States,Utah,Davis,2020-04-02,Stay at home
United States,Utah,Salt Lake,2020-03-30,Stay at home
United States,Utah,Summit,2020-03-27,Stay at home
United States,Vermont,,2020-03-25,Stay at home
United States,Virginia,,2020-03-30,Stay at home
United States,Washington,,2020-03-23,Stay at home
United States,West Virginia,,2020-03-24,Stay at home
United States,Wisconsin,,2020-03-25,Stay at home
United States,Wyoming,Jackson,2020-03-28,Stay at home
