Status,IPAddress,Progress,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9
IP Address,216.30.176.246,100,R_Amkcqj1FCA2Bu25,38.02709961,-78.47969818,anonymous,3,8,7,5,6,4,9,2,1
IP Address,216.30.188.90,100,R_aV4dnDubdAstz7r,38.02709961,-78.47969818,anonymous,8,6,2,3,5,7,9,4,1
IP Address,50.242.34.139,100,R_1lfAUMR2o800t41,38.03210449,-78.48899841,anonymous,5,2,6,3,9,8,4,7,1
IP Address,64.99.232.104,100,R_Y9nTMTje23zPPZD,38.03210449,-78.48899841,anonymous,3,8,5,9,6,7,1,4,2
IP Address,64.99.232.62,100,R_1roIVrYcLP0shfb,38.02709961,-78.47969818,anonymous,1,3,9,6,8,2,7,4,5
IP Address,64.99.233.5,100,R_XSru326YOc5oU49,38.02709961,-78.47969818,anonymous,8,7,2,3,6,5,9,4,1
IP Address,64.99.240.243,100,R_1jjGiwTOhbIficB,38.02709961,-78.47969818,anonymous,1,3,7,5,8,6,9,2,4
IP Address,64.99.240.243,100,R_1Lzq0zVacAgeU1C,38.02709961,-78.47969818,anonymous,5,3,6,4,7,8,9,1,2
IP Address,71.206.168.123,100,R_2aaiJEYZG6tWk3X,38.09359741,-78.56230164,anonymous,4,3,2,7,8,5,9,1,6
IP Address,71.206.169.60,100,R_1LFfbqcHVTViqFC,38.09359741,-78.56230164,anonymous,4,2,3,9,1,6,8,7,5
IP Address,71.206.170.100,100,R_3RpCpawAQssUDst,38.09950256,-78.40850067,anonymous,1,2,3,7,6,4,8,5,9
IP Address,71.206.187.252,100,R_1F57SkwD47gQWHr,38.09359741,-78.56230164,anonymous,3,4,8,2,6,7,1,5,9
IP Address,71.62.13.101,100,R_2B5PoYK0lGQCLLy,38.02709961,-78.47969818,anonymous,4,3,2,1,7,6,8,9,5
IP Address,71.62.13.131,100,R_qRfYVJeLt4yU3w5,38.02709961,-78.47969818,anonymous,4,5,8,3,7,6,9,2,1
IP Address,73.12.50.23,100,R_2X4Kw8dqGKnCdYc,38.09359741,-78.56230164,anonymous,9,4,8,5,1,6,2,7,3
IP Address,73.147.19.83,100,R_1gIok3mGPrNBUYE,38.02709961,-78.47969818,anonymous,3,4,8,1,6,5,9,2,7
IP Address,73.148.10.180,100,R_5ijcc39zGG7ho9X,37.5276947,-77.43309784,anonymous,2,9,7,4,8,3,5,6,1
IP Address,73.171.62.99,100,R_2alguAh0jY0zmpF,38.02709961,-78.47969818,anonymous,3,1,7,2,5,9,6,8,4
IP Address,73.251.166.84,100,R_1eyIZPyGGaDwAev,38.02709961,-78.47969818,anonymous,4,1,5,6,7,8,9,3,2
IP Address,73.251.36.23,100,R_2qwl15yofbYzZnx,38.02709961,-78.47969818,anonymous,8,9,3,2,6,4,7,1,5
IP Address,73.31.43.10,100,R_3prJxCDZMCyTuB0,38.03210449,-78.48899841,anonymous,1,4,5,6,9,8,7,2,3
IP Address,73.40.108.172,100,R_3MJrlTuXkxfSG9V,38.09359741,-78.56230164,anonymous,6,4,1,3,9,5,2,8,7
IP Address,74.96.198.181,100,R_2pJGxEHlVxuPa16,38.92579651,-77.39389801,anonymous,3,2,8,1,4,5,9,6,7
IP Address,74.96.93.60,100,R_1gqL6VvZz2D27Pz,38.89779663,-77.28849792,anonymous,4,6,2,7,8,3,9,1,5
IP Address,75.102.136.105,100,R_2zr6nkR3gIXeUBB,38.03210449,-78.48899841,anonymous,6,2,8,3,4,5,9,7,1
IP Address,75.102.136.107,100,R_3iqZwoUMrN5yMWs,38.03210449,-78.48899841,anonymous,7,2,5,6,9,8,3,4,1
IP Address,76.104.21.114,100,R_3n7Pd0YbvEEWzZi,38.03210449,-78.48899841,anonymous,5,7,8,1,9,3,6,4,2
IP Address,76.123.2.249,100,R_2z6n5zPYYWpQ2IK,38.03210449,-78.48899841,anonymous,8,5,4,2,7,6,9,3,1
IP Address,98.244.85.71,100,R_279F7gY4SJNiVYc,38.09359741,-78.56230164,anonymous,1,6,3,4,8,2,9,5,7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,4.522727273,4.545454545,5.25,3.636363636,6.363636364,5.681818182,6.568181818,4.931818182,3.522727273
