GameDate,AwayTeam,HomeTeam,qtr,min,sec,kickteam,def,down,togo,kicker,ydline,name,distance,homekick,kickdiff,timerem,offscore,defscore,season,GOOD,Missed,Blocked
20081102,MIA,DEN,1,56,40,MIA,DEN,4,3,19,27,D.Carpenter,45,0,0,3400,0,0,2008,1,0,0
20081102,MIA,DEN,1,51,1,MIA,DEN,4,9,19,29,D.Carpenter,47,0,3,3061,3,0,2008,1,0,0
20081221,MIA,KC,1,56,52,MIA,KC,4,16,19,16,D.Carpenter,34,0,7,3412,7,0,2008,1,0,0
20090104,BAL,MIA,1,53,21,MIA,BAL,4,1,19,1,D.Carpenter,19,1,0,3201,0,0,2008,1,0,0
20081019,BAL,MIA,1,53,26,MIA,BAL,4,3,19,3,D.Carpenter,21,1,0,3206,0,0,2008,1,0,0
20081005,SD,MIA,1,47,53,MIA,SD,4,4,19,29,D.Carpenter,47,1,-3,2873,0,3,2008,1,0,0
20081109,NO,ATL,1,47,18,NO,ATL,4,5,24,6,G.Hartley,24,0,-7,2838,0,7,2008,1,0,0
20081116,NO,KC,1,45,31,NO,KC,4,4,24,12,G.Hartley,30,0,-7,2731,0,7,2008,1,0,0
20081130,NO,TB,1,50,44,NO,TB,4,4,24,29,G.Hartley,47,0,0,3044,0,0,2008,1,0,0
20081026,STL,NE,1,53,53,STL,NE,4,2,35,2,J.Brown,20,0,0,3233,0,0,2008,1,0,0
20081116,STL,SF,1,56,5,STL,SF,4,4,35,30,J.Brown,48,0,0,3365,0,0,2008,0,1,0
20081130,MIA,STL,1,55,53,STL,MIA,4,5,35,5,J.Brown,23,1,0,3353,0,0,2008,1,0,0
20081130,MIA,STL,1,46,53,STL,MIA,4,3,35,33,J.Brown,51,1,3,2813,3,0,2008,1,0,0
20081012,STL,WAS,1,49,6,STL,WAS,4,5,35,33,J.Brown,51,0,-7,2946,0,7,2008,1,0,0
20090111,PHI,NYG,1,55,5,NYG,PHI,4,3,25,4,J.Carney,22,1,0,3305,0,0,2008,1,0,0
20080904,WAS,NYG,1,48,3,NYG,WAS,4,2,25,7,J.Carney,24,1,7,2883,7,0,2008,1,0,0
20081221,CAR,NYG,1,54,39,NYG,CAR,4,6,25,14,J.Carney,32,1,0,3279,0,0,2008,1,0,0
20081109,NYG,PHI,1,51,48,NYG,PHI,4,6,25,9,J.Carney,27,0,0,3108,7,7,2008,1,0,0
20081026,NYG,PIT,1,49,43,NYG,PIT,4,8,25,8,J.Carney,26,0,-7,2983,0,7,2008,1,0,0
20081130,NYG,WAS,1,47,15,NYG,WAS,4,13,25,13,J.Carney,31,0,7,2835,7,0,2008,1,0,0
20081123,CAR,ATL,1,56,19,ATL,CAR,4,2,2,5,J.Elam,23,1,0,3379,0,0,2008,1,0,0
20081214,TB,ATL,1,51,53,ATL,TB,4,7,2,8,J.Elam,26,1,0,3113,0,0,2008,1,0,0
20081012,CHI,ATL,1,54,15,ATL,CHI,4,6,2,11,J.Elam,29,1,0,3255,0,0,2008,1,0,0
20081228,STL,ATL,1,55,7,ATL,STL,4,3,2,21,J.Elam,39,1,0,3307,0,0,2008,1,0,0
20081116,DEN,ATL,1,47,31,ATL,DEN,4,4,2,28,J.Elam,46,1,-7,2851,0,7,2008,1,0,0
20081012,CHI,ATL,1,46,3,ATL,CHI,4,6,2,30,J.Elam,48,1,3,2763,3,0,2008,1,0,0
20080928,ATL,CAR,1,46,37,ATL,CAR,4,5,2,15,J.Elam,33,0,-7,2797,0,7,2008,1,0,0
20081005,ATL,GB,1,49,20,ATL,GB,4,6,2,24,J.Elam,42,0,7,2960,7,0,2008,1,0,0
20081130,ATL,SD,1,50,59,ATL,SD,4,6,2,17,J.Elam,35,0,0,3059,0,0,2008,1,0,0
20081130,ATL,SD,1,45,1,ATL,SD,4,6,2,22,J.Elam,40,0,-4,2701,3,7,2008,1,0,0
20081102,NYJ,BUF,1,53,6,NYJ,BUF,4,8,27,8,J.Feely,26,0,-4,3186,3,7,2008,1,0,0
20081102,NYJ,BUF,1,45,22,NYJ,BUF,4,15,27,19,J.Feely,37,0,-1,2722,6,7,2008,0,1,0
20081102,NYJ,BUF,1,58,17,NYJ,BUF,4,8,27,19,J.Feely,37,0,0,3497,0,0,2008,1,0,0
20081113,NYJ,NE,1,45,10,NYJ,NE,4,4,27,4,J.Feely,22,0,4,2710,7,3,2008,1,0,0
20081109,STL,NYJ,1,51,59,NYJ,STL,4,3,27,4,J.Feely,22,1,7,3119,7,0,2008,1,0,0
20080914,NE,NYJ,1,54,2,NYJ,NE,4,4,27,13,J.Feely,31,1,0,3242,0,0,2008,0,1,0
20081026,KC,NYJ,1,47,32,NYJ,KC,4,7,27,18,J.Feely,36,1,7,2852,7,0,2008,0,1,0
20081019,NYJ,OAK,1,56,44,NYJ,OAK,4,5,27,22,J.Feely,40,0,0,3404,0,0,2008,1,0,0
20081221,NYJ,SEA,1,53,11,NYJ,SEA,4,1,27,2,J.Feely,20,0,0,3191,0,0,2008,1,0,0
20081207,MIN,DET,1,46,5,DET,MIN,4,7,12,7,J.Hanson,25,1,0,2765,0,0,2008,1,0,0
20081123,TB,DET,1,45,15,DET,TB,4,4,12,20,J.Hanson,38,1,7,2715,7,0,2008,1,0,0
20081127,TEN,DET,1,55,35,DET,TEN,4,7,12,35,J.Hanson,53,1,-7,3335,0,7,2008,1,0,0
20081214,DET,IND,1,49,50,DET,IND,4,7,12,32,J.Hanson,51,0,-7,2990,0,7,2008,1,0,0
20081208,TB,CAR,1,53,53,CAR,TB,4,15,6,16,J.Kasay,33,1,0,3233,0,0,2008,1,0,0
20081019,NO,CAR,1,54,44,CAR,NO,4,7,6,22,J.Kasay,39,1,0,3284,0,0,2008,1,0,0
20081214,DEN,CAR,1,45,15,CAR,DEN,4,4,6,21,J.Kasay,39,1,-3,2715,7,10,2008,1,0,0
20080921,CAR,MIN,1,57,57,CAR,MIN,4,4,6,25,J.Kasay,43,0,0,3477,0,0,2008,1,0,0
20081228,CAR,NO,1,47,25,CAR,NO,4,2,6,9,J.Kasay,26,0,3,2845,3,0,2008,1,0,0
20081228,CAR,NO,1,53,6,CAR,NO,4,12,6,28,J.Kasay,45,0,0,3186,0,0,2008,1,0,0
20081123,SF,DAL,1,45,3,SF,DAL,4,4,34,4,J.Nedney,22,0,3,2703,3,0,2008,1,0,0
20081123,SF,DAL,1,47,42,SF,DAL,4,5,34,5,J.Nedney,23,0,0,2862,0,0,2008,1,0,0
20081123,SF,DAL,1,55,53,SF,DAL,4,7,34,35,J.Nedney,53,0,0,3353,0,0,2008,0,1,0
20081214,SF,MIA,1,49,2,SF,MIA,4,5,34,20,J.Nedney,38,0,-7,2942,0,7,2008,1,0,0
20080928,SF,NO,1,52,27,SF,NO,4,7,34,29,J.Nedney,47,0,0,3147,0,0,2008,1,0,0
20081019,SF,NYG,1,49,28,SF,NYG,4,8,34,22,J.Nedney,40,0,-7,2968,0,7,2008,1,0,0
20080914,SF,SEA,1,47,39,SF,SEA,4,7,34,8,J.Nedney,26,0,-7,2859,0,7,2008,1,0,0
20081012,PHI,SF,1,57,38,SF,PHI,4,6,34,14,J.Nedney,32,1,0,3458,0,0,2008,1,0,0
20081012,PHI,SF,1,49,29,SF,PHI,4,6,34,19,J.Nedney,37,1,-4,2969,3,7,2008,1,0,0
20081228,WAS,SF,1,49,16,SF,WAS,4,2,34,30,J.Nedney,48,1,7,2956,7,0,2008,0,1,0
20081221,SF,STL,1,47,5,SF,STL,4,10,34,30,J.Nedney,48,0,0,2825,0,0,2008,1,0,0
20081207,JAC,CHI,1,51,33,JAC,CHI,4,8,16,24,J.Scobee,42,0,-7,3093,0,7,2008,1,0,0
20081012,JAC,DEN,1,49,0,JAC,DEN,4,5,16,30,J.Scobee,48,0,-7,2940,0,7,2008,1,0,0
20081109,JAC,DET,1,57,40,JAC,DET,4,3,16,16,J.Scobee,34,0,0,3460,0,0,2008,1,0,0
20090201,PIT,ARI,1,54,50,PIT,ARI,4,1,31,1,Je.Reed,18,0,0,3290,0,0,2008,1,0,0
20081019,PIT,CIN,1,45,45,PIT,CIN,4,3,31,3,Je.Reed,21,0,7,2745,7,0,2008,1,0,0
20081130,PIT,NE,1,47,55,PIT,NE,4,1,31,2,Je.Reed,20,0,-7,2875,0,7,2008,1,0,0
20080921,PIT,PHI,1,47,55,PIT,PHI,4,5,31,19,Je.Reed,37,0,0,2875,0,0,2008,1,0,0
20090118,BAL,PIT,1,56,26,PIT,BAL,4,3,31,16,Je.Reed,34,1,0,3386,0,0,2008,1,0,0
20090118,BAL,PIT,1,51,15,PIT,BAL,4,10,31,24,Je.Reed,42,1,3,3075,3,0,2008,1,0,0
20081207,DAL,PIT,1,56,57,PIT,DAL,4,10,31,27,Je.Reed,45,1,0,3417,0,0,2008,0,1,0
20080929,BAL,PIT,1,51,50,PIT,BAL,4,18,31,31,Je.Reed,49,1,0,3110,0,0,2008,1,0,0
20081116,SD,PIT,1,55,22,PIT,SD,4,5,31,33,Je.Reed,51,1,0,3322,0,0,2008,0,1,0
20081012,MIA,HOU,1,46,4,HOU,MIA,4,3,14,9,K.Brown,27,1,-7,2764,0,7,2008,1,0,0
20081201,JAC,HOU,1,51,33,HOU,JAC,4,10,14,20,K.Brown,38,1,7,3093,7,0,2008,1,0,0
20081116,HOU,IND,1,54,25,HOU,IND,4,2,14,10,K.Brown,28,0,0,3265,0,0,2008,1,0,0
20081116,HOU,IND,1,48,2,HOU,IND,4,15,14,16,K.Brown,34,0,0,2882,3,3,2008,1,0,0
20080928,HOU,JAC,1,45,11,HOU,JAC,4,9,14,9,K.Brown,27,0,-7,2711,0,7,2008,1,0,0
20080921,HOU,TEN,1,48,54,HOU,TEN,4,6,14,6,K.Brown,24,0,-4,2934,3,7,2008,1,0,0
20080921,HOU,TEN,1,57,11,HOU,TEN,4,22,14,26,K.Brown,44,0,0,3431,0,0,2008,1,0,0
20081208,TB,CAR,1,46,3,TB,CAR,4,2,36,22,M.Bryant,40,0,-3,2763,0,3,2008,0,1,0
20081026,TB,DAL,1,56,2,TB,DAL,4,1,36,18,M.Bryant,36,0,0,3362,0,0,2008,1,0,0
20081026,TB,DAL,1,46,14,TB,DAL,4,14,36,18,M.Bryant,36,0,3,2774,3,0,2008,1,0,0
20081005,TB,DEN,1,49,32,TB,DEN,4,4,36,15,M.Bryant,33,0,0,2972,0,0,2008,1,0,0
20081116,MIN,TB,1,47,54,TB,MIN,4,8,36,21,M.Bryant,39,1,-3,2874,0,3,2008,1,0,0
20081019,IND,GB,1,53,10,GB,IND,4,5,13,13,M.Crosby,31,1,0,3190,0,0,2008,1,0,0
20080921,DAL,GB,1,53,6,GB,DAL,4,17,13,18,M.Crosby,36,1,-3,3186,0,3,2008,1,0,0
20081214,GB,JAC,1,47,38,GB,JAC,4,4,13,4,M.Crosby,22,0,-7,2858,0,7,2008,1,0,0
20081012,GB,SEA,1,47,28,GB,SEA,4,1,13,11,M.Crosby,29,0,0,2848,0,0,2008,1,0,0
20080921,NO,DEN,1,47,12,NO,DEN,4,7,22,25,M.Gramatica,43,0,-7,2832,0,7,2008,1,0,0
20081006,MIN,NO,1,48,2,NO,MIN,4,10,22,17,M.Gramatica,35,1,7,2882,7,0,2008,1,0,0
20081006,MIN,NO,1,51,31,NO,MIN,4,10,22,28,M.Gramatica,46,1,7,3091,7,0,2008,1,0,1
20080907,NYJ,MIA,1,48,35,NYJ,MIA,4,7,26,13,M.Nugent,32,0,7,2915,7,0,2008,0,1,0
20081214,DEN,CAR,1,48,42,DEN,CAR,4,4,11,25,M.Prater,43,0,0,2922,7,7,2008,1,0,0
20081106,DEN,CLE,1,58,27,DEN,CLE,4,7,11,20,M.Prater,38,0,0,3507,0,0,2008,0,1,0
20081221,BUF,DEN,1,50,1,DEN,BUF,4,5,11,5,M.Prater,23,1,7,3001,7,0,2008,1,0,0
20081130,DEN,NYJ,1,46,48,DEN,NYJ,4,7,11,7,M.Prater,25,0,7,2808,14,7,2008,1,0,0
20081228,JAC,BAL,1,54,36,BAL,JAC,4,14,3,14,M.Stover,32,1,0,3276,0,0,2008,1,0,0
20081005,TEN,BAL,1,50,56,BAL,TEN,4,5,3,20,M.Stover,38,1,0,3056,0,0,2008,1,0,0
20080921,CLE,BAL,1,55,10,BAL,CLE,4,3,3,30,M.Stover,48,1,0,3310,0,0,2008,0,1,0
20081228,JAC,BAL,1,52,3,BAL,JAC,4,7,3,30,M.Stover,48,1,3,3123,3,0,2008,0,1,0
20081130,BAL,CIN,1,51,10,BAL,CIN,4,2,3,8,M.Stover,27,0,0,3070,0,0,2008,1,0,0
20081102,BAL,CLE,1,55,43,BAL,CLE,4,12,3,23,M.Stover,41,0,0,3343,0,0,2008,1,0,0
20081220,BAL,DAL,1,51,17,BAL,DAL,4,7,3,7,M.Stover,26,0,-7,3077,0,7,2008,1,0,0
20090104,BAL,MIA,1,47,52,BAL,MIA,4,5,3,5,M.Stover,23,0,-3,2872,0,3,2008,1,0,0
20081019,BAL,MIA,1,46,36,BAL,MIA,4,11,3,29,M.Stover,47,0,-3,2796,0,3,2008,1,0,0
20081116,BAL,NYG,1,49,39,BAL,NYG,4,3,3,13,M.Stover,32,0,-7,2979,0,7,2008,1,0,1
20080929,BAL,PIT,1,45,22,BAL,PIT,4,8,3,15,M.Stover,33,0,-3,2722,0,3,2008,1,0,0
20081005,CIN,DAL,1,58,10,DAL,CIN,4,5,10,12,N.Folk,30,1,0,3490,0,0,2008,1,0,0
20080921,DAL,GB,1,58,17,DAL,GB,4,3,10,7,N.Folk,25,0,0,3497,0,0,2008,1,0,0
20081228,DAL,PHI,1,45,41,DAL,PHI,4,5,10,19,N.Folk,37,0,-3,2741,0,3,2008,1,0,0
20080914,SD,DEN,1,48,51,SD,DEN,4,9,32,16,N.Kaeding,34,0,-7,2931,0,7,2008,1,0,0
20081005,SD,MIA,1,52,46,SD,MIA,4,10,32,16,N.Kaeding,34,0,0,3166,0,0,2008,1,0,0
20081026,SD,NO,1,48,34,SD,NO,4,4,32,15,N.Kaeding,33,0,-3,2914,0,3,2008,1,0,0
20081204,OAK,SD,1,56,50,SD,OAK,4,2,32,2,N.Kaeding,20,1,0,3410,0,0,2008,1,0,0
20081012,NE,SD,1,55,44,SD,NE,4,7,32,7,N.Kaeding,25,1,0,3344,0,0,2008,1,0,0
20081228,DEN,SD,1,56,45,SD,DEN,4,9,32,10,N.Kaeding,28,1,0,3405,0,0,2008,1,0,0
20080922,NYJ,SD,1,50,44,SD,NYJ,4,2,32,18,N.Kaeding,36,1,0,3044,0,0,2008,1,0,0
20081012,NE,SD,1,45,45,SD,NE,4,2,32,26,N.Kaeding,44,1,10,2745,10,0,2008,0,1,0
20080928,DEN,KC,1,50,28,KC,DEN,4,1,17,3,N.Novak,21,1,3,3028,3,0,2008,1,0,0
20080928,DEN,KC,1,54,55,KC,DEN,4,5,17,5,N.Novak,23,1,0,3295,0,0,2008,1,0,0
20081110,SF,ARI,1,54,50,ARI,SF,4,2,1,10,N.Rackers,28,1,0,3290,0,0,2008,1,0,0
20081123,NYG,ARI,1,51,23,ARI,NYG,4,8,1,16,N.Rackers,34,1,0,3083,0,0,2008,1,0,0
20081026,ARI,CAR,1,51,59,ARI,CAR,4,3,1,3,N.Rackers,21,0,0,3119,0,0,2008,1,0,0
20080928,ARI,NYJ,1,50,11,ARI,NYJ,4,13,1,19,N.Rackers,37,0,0,3011,0,0,2008,1,0,1
20081116,ARI,SEA,1,52,52,ARI,SEA,4,1,1,20,N.Rackers,38,0,0,3172,0,0,2008,1,0,0
20080907,ARI,SF,1,56,10,ARI,SF,4,7,1,7,N.Rackers,25,0,0,3370,0,0,2008,1,0,0
20080907,ARI,SF,1,53,48,ARI,SF,4,16,1,17,N.Rackers,35,0,3,3228,3,0,2008,0,1,0
20081127,SEA,DAL,1,46,2,SEA,DAL,4,18,33,26,O.Mare,44,0,-14,2762,0,14,2008,1,0,0
20081005,SEA,NYG,1,52,14,SEA,NYG,4,6,33,12,O.Mare,30,0,-7,3134,0,7,2008,1,0,0
20080921,STL,SEA,1,56,22,SEA,STL,4,4,33,10,O.Mare,28,1,0,3382,0,0,2008,1,0,0
20081123,WAS,SEA,1,52,24,SEA,WAS,4,20,33,26,O.Mare,45,1,0,3144,0,0,2008,1,0,0
20081026,SEA,SF,1,51,20,SEA,SF,4,7,33,24,O.Mare,42,0,3,3080,3,0,2008,1,0,0
20081026,SEA,SF,1,55,10,SEA,SF,4,11,33,25,O.Mare,43,0,0,3310,0,0,2008,1,0,0
20081117,CLE,BUF,1,47,31,CLE,BUF,4,14,9,16,P.Dawson,33,0,3,2851,3,0,2008,1,0,0
20081117,CLE,BUF,1,54,32,CLE,BUF,4,8,9,23,P.Dawson,40,0,0,3272,0,0,2008,1,0,0
20080928,CLE,CIN,1,54,32,CLE,CIN,4,3,9,7,P.Dawson,25,0,0,3272,0,0,2008,1,0,0
20081013,NYG,CLE,1,55,11,CLE,NYG,4,9,9,11,P.Dawson,28,1,0,3311,0,0,2008,1,0,0
20081130,IND,CLE,1,54,9,CLE,IND,4,5,9,17,P.Dawson,34,1,0,3249,0,0,2008,1,0,0
20081013,NYG,CLE,1,45,38,CLE,NYG,4,13,9,34,P.Dawson,51,1,3,2738,3,0,2008,0,1,0
20081215,CLE,PHI,1,51,51,CLE,PHI,4,6,9,9,P.Dawson,27,0,-7,3111,0,7,2008,1,0,0
20081228,CLE,PIT,1,48,43,CLE,PIT,4,3,9,36,P.Dawson,53,0,0,2923,0,0,2008,0,1,0
20081207,CLE,TEN,1,49,5,CLE,TEN,4,8,9,23,P.Dawson,41,0,3,2945,3,0,2008,1,0,0
20081207,CLE,TEN,1,57,3,CLE,TEN,4,9,9,30,P.Dawson,47,0,0,3423,0,0,2008,1,0,0
20081214,TEN,HOU,1,53,42,TEN,HOU,4,3,37,8,R.Bironas,26,0,0,3222,0,0,2008,1,0,0
20081116,TEN,JAC,1,50,31,TEN,JAC,4,4,37,14,R.Bironas,32,0,0,3031,0,0,2008,1,0,0
20081019,TEN,KC,1,53,2,TEN,KC,4,6,37,31,R.Bironas,49,0,0,3182,0,0,2008,1,0,0
20080928,MIN,TEN,1,55,7,TEN,MIN,4,2,37,2,R.Bironas,20,1,0,3307,0,0,2008,1,0,0
20081102,GB,TEN,1,54,47,TEN,GB,4,7,37,13,R.Bironas,31,1,0,3287,0,0,2008,1,0,0
20081027,IND,TEN,1,54,47,TEN,IND,4,5,37,16,R.Bironas,34,1,0,3287,0,0,2008,1,0,0
20080907,JAC,TEN,1,54,55,TEN,JAC,4,7,37,29,R.Bironas,47,1,0,3295,0,0,2008,1,0,0
20081207,JAC,CHI,1,45,24,CHI,JAC,4,4,7,4,R.Gould,22,1,4,2724,7,3,2008,1,0,0
20081102,DET,CHI,1,56,19,CHI,DET,4,9,7,18,R.Gould,36,1,0,3379,0,0,2008,1,0,0
20080921,TB,CHI,1,57,48,CHI,TB,4,17,7,22,R.Gould,40,1,0,3468,0,0,2008,1,0,0
20080921,TB,CHI,1,51,15,CHI,TB,4,8,7,25,R.Gould,43,1,3,3075,3,0,2008,1,0,0
20081005,CHI,DET,1,51,52,CHI,DET,4,11,7,19,R.Gould,37,0,0,3112,0,0,2008,1,0,0
20081228,CHI,HOU,1,48,34,CHI,HOU,4,4,7,19,R.Gould,37,0,7,2914,7,0,2008,1,0,0
20081019,SD,BUF,1,51,52,BUF,SD,4,5,5,20,R.Lindell,38,1,0,3112,0,0,2008,1,0,0
20081207,MIA,BUF,1,47,45,BUF,MIA,4,12,5,22,R.Lindell,40,1,-7,2865,0,7,2008,1,0,0
20081026,BUF,MIA,1,49,25,BUF,MIA,4,1,5,1,R.Lindell,19,0,-7,2965,0,7,2008,1,0,0
20081214,BUF,NYJ,1,52,48,BUF,NYJ,4,4,5,16,R.Lindell,34,0,-7,3168,0,7,2008,1,0,0
20080928,BUF,STL,1,48,11,BUF,STL,4,17,5,17,R.Lindell,35,0,-4,2891,3,7,2008,1,0,0
20080928,BUF,STL,1,56,31,BUF,STL,4,5,5,27,R.Lindell,45,0,0,3391,0,0,2008,1,0,0
20081123,MIN,JAC,1,51,5,MIN,JAC,4,12,20,36,R.Longwell,54,0,7,3065,14,7,2008,1,0,0
20080914,IND,MIN,1,45,13,MIN,IND,4,2,20,9,R.Longwell,27,1,3,2713,3,0,2008,1,0,0
20080914,IND,MIN,1,55,14,MIN,IND,4,9,20,27,R.Longwell,45,1,0,3314,0,0,2008,1,0,0
20081006,MIN,NO,1,45,58,MIN,NO,4,11,20,36,R.Longwell,53,0,-3,2758,7,10,2008,1,0,0
20081116,MIN,TB,1,51,58,MIN,TB,4,7,20,25,R.Longwell,43,0,0,3118,0,0,2008,1,0,0
20081228,NE,BUF,1,48,5,NE,BUF,4,4,21,15,S.Gostkowski,33,0,0,2885,0,0,2008,1,0,0
20081123,NE,MIA,1,55,13,NE,MIA,4,2,21,12,S.Gostkowski,30,0,0,3313,0,0,2008,1,0,0
20081020,DEN,NE,1,50,14,NE,DEN,4,7,21,13,S.Gostkowski,31,1,0,3014,0,0,2008,1,0,0
20081020,DEN,NE,1,47,11,NE,DEN,4,9,21,21,S.Gostkowski,40,1,3,2831,3,0,2008,1,0,0
20081113,NYJ,NE,1,49,31,NE,NYJ,4,4,21,25,S.Gostkowski,42,1,-7,2971,0,7,2008,1,0,0
20080914,NE,NYJ,1,48,4,NE,NYJ,4,3,21,3,S.Gostkowski,21,0,0,2884,0,0,2008,1,0,0
20081012,NE,SD,1,50,56,NE,SD,4,5,21,31,S.Gostkowski,48,0,-3,3056,0,3,2008,0,1,0
20081207,NE,SEA,1,45,53,NE,SEA,4,9,21,32,S.Gostkowski,50,0,-7,2753,0,7,2008,1,0,0
20081228,KC,CIN,1,46,45,CIN,KC,4,3,8,21,S.Graham,38,1,0,2805,0,0,2008,1,0,0
20081026,CIN,HOU,1,51,29,CIN,HOU,4,7,8,26,S.Graham,43,0,0,3089,0,0,2008,1,0,0
20080921,CIN,NYG,1,45,48,CIN,NYG,4,4,8,4,S.Graham,22,0,0,2748,0,0,2008,1,0,0
20080921,OAK,BUF,1,57,43,OAK,BUF,4,5,28,5,S.Janikowski,23,0,0,3463,0,0,2008,1,0,0
20080921,OAK,BUF,1,45,36,OAK,BUF,4,8,28,17,S.Janikowski,35,0,3,2736,3,0,2008,1,0,0
20080914,OAK,KC,1,46,22,OAK,KC,4,7,28,7,S.Janikowski,25,0,3,2782,3,0,2008,1,0,0
20080914,OAK,KC,1,50,55,OAK,KC,4,4,28,37,S.Janikowski,56,0,0,3055,0,0,2008,1,0,0
20081012,OAK,NO,1,54,47,OAK,NO,4,6,28,6,S.Janikowski,24,0,0,3287,0,0,2008,1,0,0
20080928,SD,OAK,1,56,1,OAK,SD,4,4,28,4,S.Janikowski,22,1,0,3361,0,0,2008,1,0,0
20081130,KC,OAK,1,52,56,OAK,KC,4,3,28,7,S.Janikowski,25,1,0,3176,0,0,2008,1,0,0
20081019,NYJ,OAK,1,46,52,OAK,NYJ,4,11,28,11,S.Janikowski,29,1,-3,2812,0,3,2008,1,0,0
20081221,HOU,OAK,1,45,8,OAK,HOU,4,2,28,12,S.Janikowski,30,1,3,2708,10,7,2008,1,0,0
20081221,HOU,OAK,1,48,47,OAK,HOU,4,2,28,15,S.Janikowski,33,1,0,2927,7,7,2008,1,0,0
20081026,WAS,DET,1,53,16,WAS,DET,4,7,30,7,S.Suisham,25,0,0,3196,0,0,2008,1,0,0
20081123,WAS,SEA,1,48,5,WAS,SEA,4,9,30,25,S.Suisham,43,0,-3,2885,0,3,2008,0,1,0
20080914,NO,WAS,1,46,32,WAS,NO,4,2,30,4,S.Suisham,22,1,0,2792,0,0,2008,1,0,0
20081103,PIT,WAS,1,56,7,WAS,PIT,4,5,30,25,S.Suisham,43,1,3,3367,3,0,2008,1,0,0
20081103,PIT,WAS,1,58,1,WAS,PIT,4,1,30,27,S.Suisham,44,1,0,3481,0,0,2008,1,0,0
20080914,NO,WAS,1,54,20,WAS,NO,4,11,30,31,S.Suisham,49,1,0,3260,0,0,2008,0,1,0
20081026,SD,NO,1,51,37,NO,SD,4,5,23,5,T.Mehlhaff,23,1,0,3097,0,0,2008,1,0,0
20081012,OAK,NO,1,49,15,NO,OAK,4,7,23,13,T.Mehlhaff,31,1,-3,2955,0,3,2008,0,1,0
20081005,IND,HOU,2,33,22,IND,HOU,4,12,15,31,A.Vinatieri,49,0,0,2002,10,10,2008,0,1,0
20081228,TEN,IND,2,40,19,IND,TEN,4,3,15,3,A.Vinatieri,21,1,10,2419,10,0,2008,1,0,0
20081116,HOU,IND,2,30,10,IND,HOU,4,1,15,14,A.Vinatieri,32,1,-7,1810,6,13,2008,1,0,0
20080907,CHI,IND,2,39,42,IND,CHI,4,4,15,16,A.Vinatieri,34,1,-4,2382,3,7,2008,1,0,0
20081228,TEN,IND,2,32,31,IND,TEN,4,4,15,20,A.Vinatieri,38,1,13,1951,13,0,2008,1,0,0
20081116,HOU,IND,2,41,39,IND,HOU,4,5,15,21,A.Vinatieri,39,1,-3,2499,3,6,2008,1,0,0
20081218,IND,JAC,2,31,6,IND,JAC,4,3,15,11,A.Vinatieri,30,0,-7,1866,7,14,2008,0,1,0
20090103,IND,SD,2,36,51,IND,SD,4,6,15,25,A.Vinatieri,43,0,0,2211,7,7,2008,1,0,0
